fein	section	last	by
992773412	EmployeeDeductions	2026-03-25	birajpal.singh1
992773412	FedTaxWithholding	2026-03-25	birajpal.singh1
992773412	PaymentMethodSetup	2026-03-11	birajpal.singh1
992773412	PriorPayroll	2026-03-25	birajpal.singh1
992773412	StateTaxWithholding	2026-03-25	birajpal.singh1
993176161	PaymentMethodSetup	2026-01-21	birajpal.singh1
993287799	EmployeeCensus	2026-01-12	birajpal.singh1
993287799	EmployeeContributions	2026-01-28	birajpal.singh1
993287799	EmployeeDeductions	2026-01-28	birajpal.singh1
993287799	FedTaxWithholding	2026-01-12	birajpal.singh1
993287799	PaymentMethodSetup	2026-01-12	birajpal.singh1
993287799	PriorPayroll	2026-01-29	birajpal.singh1
993287799	StateTaxWithholding	2026-01-12	birajpal.singh1
993347180	EmployeeCensus	2026-07-07	mohammed.asad1
993347180	EmployeeDeductions	2026-07-16	shobhit.sharma1
993347180	FedTaxWithholding	2026-07-07	mohammed.asad1
993347180	PaymentMethodSetup	2026-07-07	mohammed.asad1
993347180	PriorPayroll	2026-07-15	shobhit.sharma1
993347180	StateTaxWithholding	2026-07-07	mohammed.asad1
993347180	WorkerCompensation	2026-07-21	shobhit.sharma1
994470285	EmployeeCensus	2026-02-27	birajpal.singh1
994470285	EmployeeContributions	2026-02-27	birajpal.singh1
994470285	EmployeeDeductions	2026-03-02	birajpal.singh1
994470285	FedTaxWithholding	2026-02-27	birajpal.singh1
994470285	PaymentMethodSetup	2026-02-27	birajpal.singh1
994470285	PriorPayroll	2026-02-27	birajpal.singh1
994470285	SocCode	2026-02-19	birajpal.singh1
994470285	StateTaxWithholding	2026-02-27	birajpal.singh1
994470285	WorkerCompensation	2026-02-27	birajpal.singh1
